Provider,TotalReimbursement,AvgReimbursement,StdReimbursement,MaxReimbursement,MinReimbursement,TotalDeductible,AvgDeductible,TotalClaims,UniquePatients,AvgAge,StdAge,MinAge,MaxAge,MaleRatio,DeceasedRatio,AvgClaimDuration,StdClaimDuration,MaxClaimDuration,AvgAdmissionDuration,MaxAdmissionDuration,ChronicCond_Alzheimer_Prevalence,ChronicCond_Heartfailure_Prevalence,ChronicCond_KidneyDisease_Prevalence,ChronicCond_Cancer_Prevalence,ChronicCond_ObstrPulmonary_Prevalence,ChronicCond_Depression_Prevalence,ChronicCond_Diabetes_Prevalence,ChronicCond_IschemicHeart_Prevalence,ChronicCond_Osteoporasis_Prevalence,ChronicCond_rheumatoidarthritis_Prevalence,ChronicCond_stroke_Prevalence,RenalDiseaseIndicator_Prevalence,InpatientRatio,ClaimsPerPatient,ReimbursementPerPatient,ReimbursementPerClaim,OutpatientRatio,PotentialFraud,PotentialFraud_Binary
PRV51001,104640,4185.6,10796.09114448373,42000,10,5340,213.6,25,24,85.28,11.980957112573824,64,105,0.36,0.0,2.44,3.3674916480965478,15,6.0,15.0,0.6,0.76,0.68,0.2,0.4,0.36,0.84,0.92,0.24,0.32,0.24,0.32,0.2,1.0416666666666667,4360.0,4185.6,0.8,No,0
PRV51003,605670,4588.409090909091,7309.79472874617,57000,0,66286,502.1666666666667,132,117,76.5530303030303,13.494875699185945,45,104,0.4090909090909091,0.007575757575757576,4.674242424242424,5.51541381022619,28,6.161290322580645,28.0,0.42424242424242425,0.6060606060606061,0.48484848484848486,0.07575757575757576,0.3106060606060606,0.4090909090909091,0.7575757575757576,0.8484848484848485,0.25,0.2878787878787879,0.09090909090909091,0.2196969696969697,0.4696969696969697,1.1282051282051282,5176.666666666667,4588.409090909091,0.5303030303030303,Yes,1
PRV51004,52170,350.13422818791946,689.9637540197714,3300,0,310,2.0805369127516777,149,138,78.81208053691275,12.934538472902057,33,107,0.3087248322147651,0.006711409395973154,2.4295302013422817,4.783495037919234,21,0.0,0.0,0.42953020134228187,0.5906040268456376,0.33557046979865773,0.10738255033557047,0.2751677852348993,0.4228187919463087,0.7046979865771812,0.7248322147651006,0.3288590604026846,0.3087248322147651,0.11409395973154363,0.15436241610738255,0.0,1.0797101449275361,378.04347826086956,350.13422818791946,1.0,No,0
PRV51005,280910,241.1244635193133,491.556391867259,4080,0,3700,3.1759656652360513,1165,495,77.00085836909871,13.350322053004083,35,107,0.4386266094420601,0.0034334763948497852,2.088412017167382,4.1074374711292805,21,0.0,0.0,0.36566523605150214,0.5836909871244635,0.4351931330472103,0.14163090128755365,0.2532188841201717,0.41630901287553645,0.6858369098712447,0.7682403433476395,0.2952789699570815,0.28412017167381975,0.10643776824034334,0.2223175965665236,0.0,2.3535353535353534,567.4949494949495,241.1244635193133,1.0,Yes,1
PRV51007,33710,468.19444444444446,1433.7691157058027,10000,0,3264,45.333333333333336,72,58,75.79166666666667,14.629641432745514,33,106,0.4722222222222222,0.013888888888888888,1.9583333333333333,3.4455012513768497,21,6.333333333333333,8.0,0.3611111111111111,0.5555555555555556,0.3055555555555556,0.16666666666666666,0.2222222222222222,0.4027777777777778,0.6805555555555556,0.7083333333333334,0.2916666666666667,0.3055555555555556,0.16666666666666666,0.1527777777777778,0.041666666666666664,1.2413793103448276,581.2068965517242,468.19444444444446,0.9583333333333334,No,0
PRV51008,35630,828.6046511627907,3224.7654631552355,21000,0,2316,53.86046511627907,43,36,82.04651162790698,12.216213832389768,36,106,0.4418604651162791,0.0,2.5348837209302326,4.415065319094559,21,5.0,6.0,0.3953488372093023,0.5813953488372093,0.32558139534883723,0.20930232558139536,0.20930232558139536,0.27906976744186046,0.6976744186046512,0.7674418604651163,0.2558139534883721,0.13953488372093023,0.046511627906976744,0.23255813953488372,0.046511627906976744,1.1944444444444444,989.7222222222222,828.6046511627907,0.9534883720930233,No,0
PRV51011,16630,286.7241379310345,701.0478070917784,5000,0,1368,23.586206896551722,58,53,80.86206896551724,13.155544859737429,44,107,0.46551724137931033,0.017241379310344827,1.5517241379310345,2.4073893102251005,18,6.0,6.0,0.43103448275862066,0.6379310344827587,0.43103448275862066,0.06896551724137931,0.3620689655172414,0.5344827586206896,0.7068965517241379,0.7586206896551724,0.3448275862068966,0.27586206896551724,0.034482758620689655,0.20689655172413793,0.017241379310344827,1.0943396226415094,313.77358490566036,286.7241379310345,0.9827586206896551,No,0
PRV51012,16890,351.875,707.8936578689371,3300,0,100,2.0833333333333335,48,31,81.02083333333333,10.468777455770077,49,104,0.22916666666666666,0.0,4.708333333333333,7.237486143251597,21,0.0,0.0,0.375,0.5416666666666666,0.4583333333333333,0.125,0.4375,0.3958333333333333,0.7291666666666666,0.7916666666666666,0.3541666666666667,0.3541666666666667,0.0625,0.14583333333333334,0.0,1.5483870967741935,544.8387096774194,351.875,1.0,No,0
PRV51013,14880,323.4782608695652,471.622341339171,1800,0,230,5.0,46,44,81.0,12.916827955982246,35,107,0.2608695652173913,0.0,2.4565217391304346,4.415661630248658,21,0.0,0.0,0.3695652173913043,0.5652173913043478,0.41304347826086957,0.08695652173913043,0.34782608695652173,0.391304347826087,0.8043478260869565,0.782608695652174,0.2608695652173913,0.34782608695652173,0.043478260869565216,0.2391304347826087,0.0,1.0454545454545454,338.1818181818182,323.4782608695652,1.0,No,0
PRV51014,10480,349.3333333333333,822.984196996362,3300,0,120,4.0,30,25,77.63333333333334,15.203183272235963,46,107,0.23333333333333334,0.03333333333333333,1.4666666666666666,1.6760654528683694,10,0.0,0.0,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.06666666666666667,0.3,0.3333333333333333,0.6333333333333333,0.6666666666666666,0.2,0.4,0.1,0.26666666666666666,0.0,1.2,419.2,349.3333333333333,1.0,No,0
PRV51015,700,87.5,74.01737247816507,200,10,0,0.0,8,7,78.625,11.807231440338343,64,101,0.0,0.0,1.375,1.0606601717798212,4,0.0,0.0,0.5,0.875,0.5,0.375,0.5,0.875,1.0,0.875,0.375,0.375,0.125,0.375,0.0,1.1428571428571428,100.0,87.5,1.0,No,0
